,VOI.t0,VOI.t1,VOI.t2,VOI.t3,VOI.t4,VOI.t5,OIR.t0,OIR.t1,OIR.t2,OIR.t3,OIR.t4,OIR.t5,MPB.t0,MPB.t1,MPB.t2,MPB.t3,MPB.t4,MPB.t5
rbj5_2025-02-19,2.171339012915211e-06,2.4811377132608105e-06,2.7849607843855762e-06,3.2884469912716113e-06,3.0877042366203943e-06,1.9058905306799718e-06,9.100227803209761e-05,-2.5830867250064035e-05,-2.3109326998855496e-05,-6.5242304524890684e-06,-8.639664839068742e-07,8.602897637860569e-06,0.03226175624241261,-0.04472252053261416,0.02354421434182905,-0.011315395219077769,-0.009724562283673225,0.011101402733161165
rbj5_2025-02-20,5.731050387328853e-06,4.701996935014757e-06,3.484475718050822e-06,1.99110663005267e-06,3.339390913692046e-07,-2.948647916523991e-06,7.437923632798653e-05,-2.01323905887276e-05,-1.8179217415562177e-05,-7.056611592924334e-06,2.1383684640939348e-06,9.59015924064852e-06,-0.07028275323714718,0.09112825078334923,-0.06996178627972073,0.06165197541155128,-0.08216090756672578,0.07332254392948193
rbj5_2025-02-21,3.3036029883629242e-06,3.3518907250050375e-06,2.7036105891496093e-06,1.275610097770468e-06,2.5629106227030003e-07,-1.3258917133609322e-06,0.00010445330119453452,-8.39135814152819e-06,-6.313099986492267e-06,-2.448620440927598e-06,9.056585001169307e-06,1.2665058758917779e-05,-0.1413348774400522,0.15277113612934395,-0.11148082223271631,0.10985610556413254,-0.08919730428720503,0.08066564034961773
rbj5_2025-02-23,3.608785678256076e-05,0.0001468415061053489,0.00011811384009650928,1.404629587229612e-05,-7.5897637880022574e-06,-2.4507971803428085e-05,0.0005860926291428836,-0.0002725911446246507,0.00021085702774966265,0.0006381599833216672,0.00023595671562072287,0.00028623775886051545,0.5547870543397843,-0.18056468632173112,-0.23956605349207674,0.05885525608862806,0.06410598058062822,-0.09297411789806001
rbj5_2025-02-24,1.4376869320936846e-06,2.3494549139467706e-06,2.2220693084422333e-06,2.452055140285373e-06,1.5518264522387239e-06,3.1571573111850303e-07,0.0001272683300221485,-5.486804009270858e-06,-1.799426272283146e-05,-1.4593963491196475e-05,-3.299411740297285e-06,1.041586777596112e-05,-0.10881207309745836,0.1337339609610158,-0.07777442224804226,0.08179595926873391,-0.06777120225426383,0.045349746005672646
rbj5_2025-02-25,3.976574726795128e-06,4.013965956967304e-06,3.1329533597182596e-06,1.813759982963027e-06,1.5584445279794302e-06,1.7480413511861662e-06,8.717025641436729e-05,-2.9668320997268867e-05,-2.8300441375269087e-05,-2.030058893156301e-05,-1.3381861760163286e-05,-3.706871397559969e-06,-0.0591101637197302,0.07870146407241964,-0.05189896032254944,0.05486795636985391,-0.03237608421209423,0.01063417180396048
rbj5_2025-02-26,3.5591458301925983e-06,4.032726071828794e-06,3.2283707920706377e-06,1.8057974824429477e-06,1.5054674274405102e-06,8.530609232498198e-07,7.125147722500044e-05,-3.1577231968026255e-05,-2.4402798326988664e-05,-9.614282969165e-06,-2.1759253731180186e-06,2.0378941281955747e-06,-0.09511456267772442,0.1090381001998275,-0.05880410779189912,0.069601777013839,-0.04026530764174093,0.01939523312892972
rbj5_2025-02-27,6.340572835031531e-06,4.796929237015635e-06,3.5263453106675376e-06,3.147413295027058e-06,2.1216087649962016e-06,7.05533409339784e-07,9.717758915332265e-05,-1.5010182062759043e-05,-1.967517287183091e-05,-1.0363688509912128e-05,-3.131216465865177e-06,-1.729365986250342e-06,-0.03562102473384387,0.05583113854592342,-0.006275031083972794,-0.022385887831532624,0.012224797275609585,-0.0024138067935181614
rbj5_2025-02-28,8.941337568640588e-07,1.8038287960282632e-06,1.3105184790285175e-06,1.6466154035281172e-07,-1.6659265555090984e-07,-1.437832873581366e-06,0.00012659666991326132,-2.4425592713974358e-05,-1.2890838138604774e-05,7.285127992009871e-07,4.1658495645502595e-06,1.2170079377189926e-05,0.024183167115821958,-0.019612232075793188,0.06657979657979171,-0.06641190395701818,0.0764534513291625,-0.07490012917537663
rbj5_2025-03-02,0.00018048633264138998,0.0001845739753755376,0.0001955258733152204,0.00014551085044761062,0.00010226148231411297,-3.6808565662702284e-05,6.592017579265193e-05,-1.4954197663819307e-05,0.00017987941736857213,0.0005947575745070165,0.00021546798225487875,0.0010218847995753944,1.2199153918877061,-1.1829398827942486,0.8014095796241176,-0.5185617373213006,0.18272775463121188,-0.2297453030338071
rbj5_2025-03-03,1.5816985830308588e-06,2.248176240200625e-06,2.0920836021879632e-06,2.0774191658537e-06,2.0448821095268154e-06,1.5279068334142335e-06,0.00010650803748405189,-3.2917012690855016e-05,-2.3497724553088573e-05,-1.626947617335988e-05,-5.315038378876585e-06,-5.007890620222278e-06,-0.01729523199835895,0.06059107619944828,-0.03682360160813491,0.051707224181204665,-0.05857267364011621,0.0016177412223483151
